ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA_PLANTAS,Q_MERCADO_TOTAL,N_PLANTAS
2012,2,8,SARDINA COMUN,68471.82425978988,10470,18603.985999999997,2
2012,3,8,SARDINA COMUN,66178.71411027685,128658,216777.33199999976,8
2012,4,8,SARDINA COMUN,70735.29149183109,100809,164634.0050000001,8
2012,5,8,SARDINA COMUN,76262.17170345657,25777,41729.18700000001,6
2012,6,8,SARDINA COMUN,83549.03064415259,15990,27453.918,5
2012,7,8,SARDINA COMUN,77932.40246406572,24350,39902.53900000003,4
2012,8,8,SARDINA COMUN,83320.57745187901,8728,13540.762999999997,4
2012,9,8,SARDINA COMUN,84000,1092,197.57700000000003,1
2012,10,8,SARDINA COMUN,85812.37121898953,24266,37466.82799999997,7
2012,11,8,SARDINA COMUN,87127.58248535306,51888,81691.644,6
2012,12,8,SARDINA COMUN,89941.91432670629,24395,39438.629000000015,6
2013,2,8,SARDINA COMUN,149998,448.732,973.8109999999999,1
2013,3,8,SARDINA COMUN,115389.1391665176,35775.2,51996.734000000004,8
2013,4,8,SARDINA COMUN,153671.20759704852,10737.749000000002,11997.53199999999,5
2013,5,8,SARDINA COMUN,134700.92407478509,12011.912,11854.431000000002,5
2013,6,8,SARDINA COMUN,177714.95378072452,6083.133,6367.226,5
2013,7,8,SARDINA COMUN,159244.25570075045,13946.541,30429.591,3
2013,10,8,SARDINA COMUN,129977.70073039904,5303.813,11439.844999999998,3
2013,11,8,SARDINA COMUN,209274.81948404445,17026.157000000003,30110.675000000007,3
2013,12,8,SARDINA COMUN,312459.49566206284,11369.805,13986.951000000005,3
2014,3,8,SARDINA COMUN,89951.45007449009,79555.542,167005.40399999966,6
2014,4,8,SARDINA COMUN,92080.23777414615,44887.458000000006,96494.81999999998,6
2014,5,8,SARDINA COMUN,96504.52194822184,21177.342,37953.51500000003,4
2014,6,8,SARDINA COMUN,96424.1940772372,18879.061,34657.68400000003,3
2014,7,8,SARDINA COMUN,95921.20190304011,17433.789,32794.83099999999,3
2014,10,8,SARDINA COMUN,103280.61170484856,11905.561999999998,28354.785000000025,3
2014,11,8,SARDINA COMUN,107879.04346300907,9190.643,27448.484000000008,3
2014,12,8,SARDINA COMUN,121964.80825979856,836.679,2298.357,2
2015,2,8,SARDINA COMUN,100000,146.542,147.054,1
2015,3,8,SARDINA COMUN,119660.2504398007,20178.415963999996,59057.369999999995,4
2015,4,8,SARDINA COMUN,112502.83501309162,34631.669,94780.00800000007,4
2015,5,8,SARDINA COMUN,114376.88936733767,22558.085000000003,65080.799999999996,4
2015,6,8,SARDINA COMUN,103816.5394888139,3730.031,8938.752000000002,2
2015,7,8,SARDINA COMUN,100747.20421567452,1610.371,9538.653000000008,2
2015,10,8,SARDINA COMUN,129712,2660.977,23658.615999999995,1
2015,11,8,SARDINA COMUN,127986.27947659785,13129.178000000002,72783.1130000002,2
2015,12,8,SARDINA COMUN,126525.05622636188,2510.2459999999996,16249.863999999992,2
2016,2,8,SARDINA COMUN,120000,3156,13320.896,1
2016,3,8,SARDINA COMUN,120182.19186545392,5827,33516.63100000001,2
2016,4,8,SARDINA COMUN,119163.40271493212,884,9037.596000000007,2
2016,5,8,SARDINA COMUN,120000,1482,10196.389000000005,1
2016,6,8,SARDINA COMUN,120000,4946,24911.257999999994,1
2016,7,8,SARDINA COMUN,126616.03534777652,7016,14042.949999999999,3
2016,10,8,SARDINA COMUN,121613.99881270409,10107,16075.666,3
2016,11,8,SARDINA COMUN,121985.78898280385,20586,51071.78700000003,4
2016,12,8,SARDINA COMUN,119736.04076590488,8095,14429.217000000004,4
2017,2,8,SARDINA COMUN,100000,1090,7532.133000000001,1
2017,3,8,SARDINA COMUN,103819.11794398454,69338,159219.4409999997,4
