ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA,Q_MERCADO,N_PLANTAS
2023,4,4,ANCHOVETA,138390,3599.764,0,1
2023,5,4,ANCHOVETA,145860,3625.801,0,1
2023,6,4,ANCHOVETA,145390,2243.7,0,1
2013,11,4,JUREL,202588.490872535,137.771,0,2
2013,12,4,JUREL,116829.580398055,513.949,0,2
2014,1,4,JUREL,112649.078729567,2122.049,0,2
2014,2,4,JUREL,153942.673578334,122.884,0,2
2014,3,4,JUREL,284640,3.36,0,1
2014,4,4,JUREL,110200,10.232,0,1
2014,5,4,JUREL,112350,6.337,0,1
2014,6,4,JUREL,114520,35.556,0,1
2014,7,4,JUREL,140190,140.648,0,1
2014,8,4,JUREL,145350,403.251,0,1
2015,1,4,JUREL,181427,2143.907,0,1
2015,2,4,JUREL,159987,2541.501,0,1
2015,3,4,JUREL,149555,742.729,0,1
2015,4,4,JUREL,194041,694.312,0,1
2015,5,4,JUREL,180269,417.033,0,1
2015,6,4,JUREL,174685,54.508,0,1
2015,7,4,JUREL,140225,218.25,0,1
2015,8,4,JUREL,144220,1027.956,0,1
2015,9,4,JUREL,162380,496.873,0,1
2015,10,4,JUREL,151754,12.314,0,1
2015,12,4,JUREL,152960,186.765,0,1
2016,7,4,JUREL,166410,1287,0,1
2016,8,4,JUREL,186840,31,0,1
2016,9,4,JUREL,179390,140,0,1
2016,10,4,JUREL,170100,12,0,1
2016,11,4,JUREL,155460,186,0,1
2017,7,4,JUREL,156000,1718,0,1
2017,8,4,JUREL,154000,1348,0,1
2017,9,4,JUREL,151958.791208791,364,0,2
2017,10,4,JUREL,149000,22,0,1
2017,11,4,JUREL,172000,136,0,1
2018,1,4,JUREL,166900,1341.32318,0,1
2018,2,4,JUREL,166900,2336.636156,0,1
2018,3,4,JUREL,161170,332.58555,0,1
2018,4,4,JUREL,111190,404.123,0,1
2018,5,4,JUREL,121530,15.325,0,1
2018,7,4,JUREL,196000,4.377,0,1
2018,8,4,JUREL,198000,2.34,0,1
2018,10,4,JUREL,210000,29.018,0,1
2018,11,4,JUREL,500000,2,0,1
2019,1,4,JUREL,144130,474.44,0,1
2019,2,4,JUREL,136280,2370.97,0,1
2019,3,4,JUREL,135030,0.2,0,1
2019,4,4,JUREL,135900,284.81,0,1
2019,5,4,JUREL,132990,54.54,0,1
2019,12,4,JUREL,144976.535386583,1219.53,0,2
2020,1,4,JUREL,147652,2800.002,0,1
2020,2,4,JUREL,147652,2128.57,0,1
2020,3,4,JUREL,147652,782.612,0,1
2020,4,4,JUREL,168729,1119.435,0,1
2020,5,4,JUREL,173148,95.882,0,1
2020,8,4,JUREL,169950.449331005,545.669,0,2
2020,9,4,JUREL,219469,27.324,0,1
2020,12,4,JUREL,150186,790.094,0,1
