ANIO,MES,NM_RECURSO,PRECIO_MACRO,Q_MUESTRA_TOTAL,N_REGIONES_PRECIO,N_PLANTAS_TOTAL,CV_PRECIO_REGIONAL,N_OUTLIERS_PRECIO,FECHA,Q_MACRO,Q_INDUSTRIAL_MACRO,Q_ARTESANAL_MACRO,N_REGIONES_DESEMB,N_OUTLIERS_CANTIDAD,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2017,2,SARDINA COMUN,100000,1090,1,1,NA,0,2017-02-01,20605.559,8094.899000000001,12510.66,5,1,0.3928502497796833,0.6071497502203167
2017,3,ANCHOVETA,99837.0211038961,2464,2,3,0.04238707865388512,0,2017-03-01,13893.260000000004,170.201,13723.059000000003,5,1,0.012250616485979528,0.9877493835140204
2017,3,SARDINA COMUN,99928.47594198449,52124,2,4,0.0625636673366535,0,2017-03-01,169656.5179999997,500.524,169155.9939999997,5,2,0.002950219690351071,0.9970497803096489
2017,4,ANCHOVETA,112956.6151940545,1211,2,3,0.2589623870686593,0,2017-04-01,6200.24,22.888,6177.352,4,1,0.003691470007612609,0.9963085299923874
2017,4,SARDINA COMUN,113075.7702321347,10985,2,4,0.1748804542402546,0,2017-04-01,34265.107999999986,0,34265.107999999986,4,1,0,1
2017,5,ANCHOVETA,93863.03427771949,2859,2,3,0.1526733863976138,0,2017-05-01,8768.418,356.392,8412.026,5,2,0.040644960128497526,0.9593550398715025
2017,5,JUREL,120000,79,1,1,NA,0,2017-05-01,70295.02900000004,70042.06700000004,252.96200000000002,2,0,0.9964014240608678,0.003598575939132195
2017,5,SARDINA COMUN,103009.75628188172,5293,2,4,0.11052091520896007,0,2017-05-01,30949.613000000027,47.353,30902.260000000028,5,2,0.0015300029761276808,0.9984699970238723
2017,6,ANCHOVETA,93787.97777777778,720,2,2,0.25769748287050037,0,2017-06-01,2075.8160000000003,0,2075.8160000000003,4,0,0,1
2017,6,SARDINA COMUN,100673.5725026853,1862,2,3,0.1096986534906969,0,2017-06-01,13014.722000000002,0,13014.722000000002,4,1,0,1
2017,7,SARDINA COMUN,101700.3495145631,412,1,2,NA,0,2017-07-01,12926.533999999996,0,12926.533999999996,4,1,0,1
2017,10,ANCHOVETA,95000,318,1,1,NA,0,2017-10-01,3043.841,1030.732,2013.109,3,0,0.33862872600769883,0.6613712739923012
2017,10,SARDINA COMUN,95979.16666666669,720,1,2,NA,0,2017-10-01,20624.767,11123.771,9500.996,4,0,0.5393404444278086,0.4606595555721914
2017,11,ANCHOVETA,96041,1746,1,1,NA,0,2017-11-01,15477.358000000007,1087.67,14389.688000000007,4,1,0.07027491384511488,0.9297250861548851
2017,11,SARDINA COMUN,97921.525,3960,1,2,NA,0,2017-11-01,28720.39000000003,2905.9799999999996,25814.41000000003,4,1,0.1011817736458313,0.8988182263541687
2017,12,ANCHOVETA,97031,1405,1,1,NA,0,2017-12-01,4618.351000000001,0,4618.351000000001,3,1,0,1
2017,12,SARDINA COMUN,97073.89576883386,1938,1,2,NA,0,2017-12-01,13904.765000000007,0,13904.765000000007,4,0,0,1
