ANIO,MES,NM_RECURSO,Precio_Real,Q_Mercado,D_Shock,P_Harina,P_Diesel,SST,Viento
2018,7,ANCHOVETA,124360.04909623948,13.099,0,1442370.960901872,803.4677324065811,12.306010579314806,4.808780011731433
2018,7,JUREL,289582.00398902356,44127.09000000001,0,1442370.960901872,843.0973584883519,11.470466562946587,7.74216449283382
2018,7,SARDINA COMUN,142166.13640903655,1203.5580000000002,0,1442370.960901872,876.9235038480701,11.444315714286384,6.247447385161619
2018,8,JUREL,289830.7413173465,14828.783,0,1447973.302710086,839.5051167303334,11.045494884640792,6.128216421981095
2018,9,JUREL,274979.11918765656,468.268,0,1528324.674009249,877.4033735039745,11.816973540373146,7.3164440060913
2018,10,ANCHOVETA,189818.16019961724,1657.4020000000005,0,1490419.9410123574,900.789987754769,12.586032114606525,5.576409375109343
2018,10,SARDINA COMUN,164545.4704337702,12456.313999999997,0,1490419.9410123574,918.1976048890323,12.361983562598109,5.45139300965995
2018,11,ANCHOVETA,211801.629180239,15861.191000000032,0,1466135.749199992,922.1633403951756,14.09305428991247,6.629328636007735
2018,11,SARDINA COMUN,167732.0033187257,47184.30300000007,0,1466135.749199992,928.4930365155452,14.075054884924153,6.500571101463491
2018,12,ANCHOVETA,244421.60363539553,1186.8509999999999,0,1425661.2949503628,904.3937128865107,14.06917821083759,8.08975812533278
2018,12,JUREL,289699.9863774722,48925.97000000002,0,1425661.2949503628,903.507929765283,14.072167886994206,8.088104466284054
2018,12,SARDINA COMUN,190792.21888785815,7818.800000000001,0,1425661.2949503628,913.6714745799358,13.94009621350071,8.26034957560881
2019,1,JUREL,325638.0868431728,51534.40599999996,0,1400044.090396863,862.2074552778543,13.227876767617818,7.935325198459256
2019,2,ANCHOVETA,158878.65703121046,12.496,0,1357121.6276725838,872.9425533771097,13.698973635986384,7.342801723742477
2019,2,JUREL,314966.4375419406,69226.92299999997,0,1357121.6276725838,828.4986726646698,13.580786231193937,6.102534037183827
2019,2,SARDINA COMUN,158960.8221888301,12826.72,0,1357121.6276725838,872.9425533771097,13.698973635986384,7.342801723742477
2019,3,ANCHOVETA,198758.444096305,31780.55000000004,0,1382870.164050371,800.2858911418741,13.362126178281226,7.941425705861278
2019,3,JUREL,313399.44034023944,74661.76199999997,0,1382870.164050371,800.1119156646214,13.36462165574282,7.945663679914859
2019,3,SARDINA COMUN,168262.10480286946,108709.64800000029,0,1382870.164050371,805.4668893384473,13.287810737781909,7.815218631878966
2019,4,ANCHOVETA,208922.97305497667,44711.86100000001,0,1461571.5057781378,807.3105127509696,12.946193818916168,6.2097673407342
2019,4,JUREL,312462.0541777064,57635.439000000006,0,1461571.5057781378,808.6915071084214,12.897489130969804,6.249508542886332
2019,4,SARDINA COMUN,170227.4646953204,65813.34599999996,0,1461571.5057781378,815.5128036481402,12.732313546473286,6.284904527054179
2019,5,ANCHOVETA,231153.62151291824,26774.716,0,1523237.26713999,832.2618435711728,12.373997612655032,7.2437360199092975
2019,5,JUREL,310598.4633973224,47756.269000000015,0,1523237.26713999,832.295847656686,12.354591219249198,7.252517420355453
2019,5,SARDINA COMUN,161928.23094165,32261.588000000018,0,1523237.26713999,836.8389883935935,12.321851435482507,7.418671218047827
2019,6,ANCHOVETA,212131.23591889185,12796.148999999996,0,1496077.714382446,862.2463633892582,11.87886652101996,6.537210435453643
2019,6,JUREL,310598.4633973224,57878.86599999997,0,1496077.714382446,855.3071425101223,11.934823109811315,6.143385812010426
2019,6,SARDINA COMUN,162017.39150176267,13949.822000000007,0,1496077.714382446,860.9159640439597,11.897787129174306,6.512714448285528
2019,7,ANCHOVETA,117560.14822784516,4010.8310000000015,0,1446113.2496978869,823.955815958006,11.20442760164432,7.126264319619872
2019,7,JUREL,309978.50638455333,38361.60800000001,0,1446113.2496978869,823.1536256499509,11.206674118228165,7.157163919516903
2019,7,SARDINA COMUN,153696.25573340306,7556.778999999995,0,1446113.2496978869,824.1275330348758,11.202936243944123,7.119832805333437
2019,11,ANCHOVETA,210062.388430407,28424.023000000005,0,1352588.1337154617,835.516614174448,13.892520445360349,5.54033929383432
2019,11,SARDINA COMUN,179329.39098740672,47691.34100000003,0,1352588.1337154617,839.0897762665215,13.803460017033284,5.509853969435023
2019,12,ANCHOVETA,208248.48136802865,8300.733999999997,0,1444511.189012972,851.1912935169431,13.463222489212875,6.3114136568725
2019,12,JUREL,306291.66079442046,16949.671000000006,0,1444511.189012972,848.4684304879845,13.435676483793308,6.307764939292474
2019,12,SARDINA COMUN,183941.489143451,30354.056999999993,0,1444511.189012972,856.5686861536053,13.52106306493298,6.322422719040158
2020,1,JUREL,318776.16876823397,80468.49799999999,0,1610910.6234884255,886.8664580595988,14.25784449494691,7.03204442468046
2020,2,ANCHOVETA,163724.36294586526,1714.9960000000003,0,1771901.1776216123,912.6322898509286,14.443094654775718,4.885075606174249
2020,2,JUREL,289936.48592805566,102478.11599999994,0,1771901.1776216123,884.4673048706737,13.850307656052536,6.314403557289444
2020,2,SARDINA COMUN,163724.36294586526,5300.4619999999995,0,1771901.1776216123,912.6322898509285,14.44309465477572,4.885075606174249
2020,3,ANCHOVETA,178426.08916095833,7405.881999999998,0,1804050.6742354727,855.5522703111602,14.19753101542148,5.777295890425938
2020,3,JUREL,248325.94783780267,77125.61100000002,0,1804050.6742354727,851.0186135865168,14.203700759534712,5.979173789289368
2020,3,SARDINA COMUN,183732.0766698836,35113.873000000036,0,1804050.6742354727,858.3588742041961,14.196003425324792,5.650697910989995
2020,4,ANCHOVETA,212825.90772341721,53234.135999999984,0,1877146.9977895836,811.1206224038389,12.915726152667766,6.204305943472985
2020,4,JUREL,248350.68983497837,60908.149999999965,0,1877146.9977895836,810.8080778504182,12.905767977178403,6.199525026958542
2020,4,SARDINA COMUN,198692.72325170613,104303.83299999993,0,1877146.9977895836,813.5291629885407,12.986813704110919,6.2389980385335955
2020,5,ANCHOVETA,235980.70254128397,41396.06999999997,0,1819421.0421047313,782.5116473957426,13.21427728339362,7.490257176578365
2020,5,JUREL,237069.03224433408,66967.56999999998,0,1819421.0421047313,781.7296609504808,13.198383940776658,7.472263819845615
2020,5,SARDINA COMUN,210051.65445806013,37225.965,0,1819421.0421047313,785.7943452753576,13.28099588500728,7.565791419341348
2020,6,ANCHOVETA,225650.8987864441,13224.11,0,1698882.6476742392,751.7835697194329,11.715978739747166,8.821029848923185
2020,6,JUREL,281422.77973221504,51810.274,0,1698882.6476742392,750.5706606563623,11.669908343370146,8.849229001338585
2020,6,SARDINA COMUN,199297.6263201759,8622.551999999998,0,1698882.6476742392,758.9320820768767,11.987503463109192,8.65483273188571
2020,7,ANCHOVETA,229122.79130543937,5943.889,0,1486934.7155351704,712.4833148154439,11.394911430836205,8.637963500199453
2020,7,JUREL,276330.58150595136,24626.47599999998,0,1486934.7155351704,712.483314815444,11.394911430836205,8.637963500199453
2020,7,SARDINA COMUN,224627.039349006,2904.852,0,1486934.7155351704,712.483314815444,11.394911430836205,8.637963500199453
2020,11,ANCHOVETA,249162.86619823432,34850.47099999997,0,1543368.5096646026,639.7725684027566,13.017712537729397,6.386643498777171
2020,11,SARDINA COMUN,205366.32491198965,20880.215000000004,0,1543368.5096646026,639.7725684027566,13.017712537729397,6.386643498777171
2020,12,ANCHOVETA,340661.70390980574,5757.8589999999995,0,1461512.2781552712,644.1722899647315,12.978832691487286,6.526800019783474
2020,12,SARDINA COMUN,219212.11044390543,18364.102999999996,0,1461512.2781552712,644.1722899647315,12.978832691487286,6.526800019783473
2021,1,JUREL,308648.0072726676,90391.36099999998,0,1495806.3290079918,670.0769671779007,13.743998777315426,6.988121678289204
2021,2,JUREL,308031.9433858958,82934.48900000002,0,1562781.6502337272,698.2057383413639,15.193236601672,5.821296940247022
2021,3,ANCHOVETA,192672.38464175415,54853.31200000011,0,1510448.137213265,726.1045146214675,14.0866665724554,5.871069214986149
2021,3,JUREL,306804.72448794404,72784.29000000004,0,1510448.137213265,726.1045146214675,14.0866665724554,5.871069214986149
2021,3,SARDINA COMUN,184627.18386866825,165217.76999999993,0,1510448.137213265,726.1045146214675,14.0866665724554,5.871069214986149
2021,4,ANCHOVETA,217269.1845956536,45679.38199999999,0,1457805.8632686073,761.1326716656458,13.48246841328935,5.136571411701366
2021,4,JUREL,305582.39490831085,72216.459,0,1457805.8632686073,761.1326716656458,13.48246841328935,5.136571411701366
