"","ANIO","REG","MES","NM_RECURSO","Precio_ponderado","Q_total_consolidado","N_Plantas_Compradoras"
"358",2020,3,8,"SARDINA ESPAÑOLA",119505,32.315,1
"359",2020,3,10,"SARDINA ESPAÑOLA",127365,14.98,1
"360",2021,3,2,"SARDINA ESPAÑOLA",131098,10.623,1
"361",2021,3,3,"SARDINA ESPAÑOLA",131235,1.105,1
"362",2021,3,5,"SARDINA ESPAÑOLA",125453,74.955,1
"363",2021,3,6,"SARDINA ESPAÑOLA",136158,18.6,1
"364",2021,3,7,"SARDINA ESPAÑOLA",134667,3.102,1
"365",2021,3,10,"SARDINA ESPAÑOLA",145852,3.022,1
"366",2021,3,11,"SARDINA ESPAÑOLA",145971,43.325,1
"367",2021,3,12,"SARDINA ESPAÑOLA",157389,66.959,1
"368",2022,3,3,"SARDINA ESPAÑOLA",153239,20.112,1
"369",2022,3,4,"SARDINA ESPAÑOLA",156031,12.232,1
"370",2022,3,5,"SARDINA ESPAÑOLA",171487,4.755,1
"371",2022,3,7,"SARDINA ESPAÑOLA",178871,46.638,1
"372",2022,3,8,"SARDINA ESPAÑOLA",181840,30.18,1
"373",2022,3,12,"SARDINA ESPAÑOLA",173849,72.289,1
"374",2023,3,6,"SARDINA ESPAÑOLA",185710,145.52,1
"375",2023,3,7,"SARDINA ESPAÑOLA",185419,376.218,1
"376",2023,3,10,"SARDINA ESPAÑOLA",224443,62.093,1
"377",2023,3,11,"SARDINA ESPAÑOLA",230301,505.336,1
"378",2023,3,12,"SARDINA ESPAÑOLA",211215,186.436,1
"379",2024,3,7,"SARDINA ESPAÑOLA",185419,158.68,1
"380",2024,3,11,"SARDINA ESPAÑOLA",230301,3.6,1
"381",2024,3,12,"SARDINA ESPAÑOLA",211215,73.825,1
"382",2012,4,1,"ANCHOVETA",73000,933,1
"383",2012,4,2,"ANCHOVETA",69000,1180,1
"384",2012,4,3,"ANCHOVETA",70000,4146,1
"385",2012,4,4,"ANCHOVETA",65000,6785,1
"386",2012,4,5,"ANCHOVETA",68000,3007,1
"387",2012,4,6,"ANCHOVETA",72000,3672,1
"388",2012,4,7,"ANCHOVETA",62000,401,1
"389",2012,4,8,"ANCHOVETA",65000,403,1
"390",2012,4,9,"ANCHOVETA",62000,477,1
"391",2012,4,10,"ANCHOVETA",64000,1339,1
"392",2012,4,11,"ANCHOVETA",73000,69,1
"393",2012,4,12,"ANCHOVETA",61000,388,1
"394",2013,4,1,"ANCHOVETA",89052,9.49,1
"395",2013,4,2,"ANCHOVETA",98294,79.703,1
"396",2013,4,3,"ANCHOVETA",85729,961.133,1
"397",2013,4,4,"ANCHOVETA",83260,1943.174,1
"398",2013,4,5,"ANCHOVETA",94370,4725.253,1
"399",2013,4,6,"ANCHOVETA",89800,3195.349,1
"400",2013,4,7,"ANCHOVETA",90820,542.189,1
"401",2013,4,8,"ANCHOVETA",85990,380.531,1
"402",2013,4,11,"ANCHOVETA",75930,9.534,1
"403",2013,4,12,"ANCHOVETA",71358,90.603,1
"404",2014,4,1,"ANCHOVETA",74840,871.279,1
"405",2014,4,2,"ANCHOVETA",74800,426.673,1
