ANIO,MES,NM_RECURSO,Q_MACRO,Q_INDUSTRIAL,Q_ARTESANAL,N_REGIONES_ACTIVAS,SHARE_INDUSTRIAL,PRECIO_W,Q_MUESTRA_PRECIO,N_TRANSACCIONES,PRECIO_SD,FECHA
2018,4,JUREL,42882.01299999999,42474.59799999999,407.41499999999996,2,0.9904991633671675,217801.4470029408,4709.233,12,56216.841734807225,2018-04-01
2018,5,JUREL,65005.52299999998,64850.87099999998,154.652,2,0.9976209406083849,212212.1448226785,6000.4,9,55300.8052653847,2018-05-01
2018,6,JUREL,48548.88200000001,47225.61800000002,1323.2640000000001,2,0.9727436771870464,181837.9221895014,5621.298000000001,7,50370.10636516559,2018-06-01
2018,7,JUREL,44127.09000000001,42496.71700000001,1630.3729999999998,1,0.9630527868481698,209565.31043894743,8921.469819999998,13,10775.089981181785,2018-07-01
2018,8,JUREL,14828.786,14603.476,225.30999999999997,2,0.9848059038683274,209547.32861836313,4507.299756,15,22322.133787747425,2018-08-01
2018,9,JUREL,474.97599999999994,468.268,6.707999999999999,3,0.9858771811628377,200000,80.23,8,10690.449676496975,2018-09-01
2018,10,JUREL,30.944999999999997,0,30.944999999999997,2,0,210000,29.018,1,NA,2018-10-01
2018,11,JUREL,12.635,0,12.635,1,0,147157.8412709368,318.757,4,204999.76008116044,2018-11-01
2018,12,JUREL,48958.817000000025,47912.552000000025,1046.2650000000003,3,0.9786296919715197,197962.59323623177,11562.712580000001,12,31032.966344703742,2018-12-01
2019,1,JUREL,51711.32699999996,42049.51499999996,9661.812,3,0.8131586915183978,234041.28603388742,11845.1,8,41523.11808757003,2019-01-01
2019,2,JUREL,69625.81399999997,67072.54899999997,2553.265000000001,4,0.9633287590720304,200925.64574467944,7644.43,7,51088.357668706805,2019-02-01
2019,3,JUREL,75045.51199999997,74508.63999999997,536.872,4,0.9928460478755877,201069.99380985234,7899.649999999999,10,54416.8103912344,2019-03-01
2019,4,JUREL,57823.213,57543.908,279.305,3,0.9951696734666059,212095.75717803373,7366.919999999998,10,51762.91961369001,2019-04-01
2019,5,JUREL,47759.85200000001,47756.269000000015,3.583,2,0.9999249788294989,228550.31388989103,3797.509999999999,8,51686.31310677352,2019-05-01
2019,6,JUREL,57879.61599999997,57239.92199999997,639.694,2,0.9889478534204511,229816.99504469786,3995.72,6,32661.496230270895,2019-06-01
2019,7,JUREL,38361.75800000001,38349.418000000005,12.34,2,0.9996783254823722,228908.00870279796,1010.02,5,39618.20521174577,2019-07-01
2019,8,JUREL,4029.446000000001,4029.446000000001,0,1,1,NA,NA,NA,NA,2019-08-01
2019,9,JUREL,60.07300000000001,0,60.07300000000001,1,0,NA,NA,NA,NA,2019-09-01
2019,10,JUREL,22.408,0,22.408,1,0,112042,333.73,2,0,2019-10-01
2019,11,JUREL,575.264,0,575.264,2,0,120397,32.48,2,0,2019-11-01
2019,12,JUREL,16978.401000000005,16447.355000000007,531.046,3,0.9687222607123016,171768.30591640627,5175.270000000001,8,64522.19370993873,2019-12-01
2020,1,JUREL,80473.19799999999,69904.875,10568.323,2,0.8686727598423516,227321.62615509244,30271.061,13,53593.47086573044,2020-01-01
2020,2,JUREL,102478.11599999994,99736.36499999992,2741.751,3,0.973245497604581,203449.63310074832,15375.169000000002,13,37566.799690343054,2020-02-01
2020,3,JUREL,77125.61100000002,74999.18800000002,2126.4229999999993,2,0.9724290936249439,182593.17390652758,10823.021,11,39835.9474556701,2020-03-01
2020,4,JUREL,60908.149999999965,60896.64699999997,11.503,2,0.999811141858684,181647.7382717235,15891.507999999998,13,40064.98782523087,2020-04-01
2020,5,JUREL,66974.86999999998,66967.25999999998,7.609999999999999,2,0.9998863752927031,161107.41030669273,6271.75,7,16089.60674591195,2020-05-01
2020,6,JUREL,51820.873999999996,51810.274,10.6,2,0.9997954492238013,212821.43406247682,8324.562,8,38338.98162072495,2020-06-01
2020,7,JUREL,24631.67599999998,24626.47599999998,5.2,2,0.9997888897206995,210000,1684.0600000000002,3,0,2020-07-01
2020,8,JUREL,6927.787,6714.819,212.968,2,0.9692588701124905,169950.4493310047,545.669,3,25130.90251728603,2020-08-01
