year,month,specie,harvest_LANCHAS_IFOP_centrosur,harvest_BOTES_IFOP_centrosur,harvest_IND_IFOP_norte,harvest_IND_IFOP_centrosur,total_harvest_IFOP_centrosur,total_harvest_IFOP_norte
2021,feb,JUREL,3844.5960000000005,4.5,6919.287,80523.96300000002,84373.05900000002,6919.287
2021,abr,JUREL,20.219,9.83,13851.877000000004,72216.459,72246.508,13851.877000000004
2021,jun,JUREL,2.248,3.2,644.7530000000002,65440.95300000001,65446.401000000005,644.7530000000002
2021,ago,JUREL,4.995,9.600000000000001,0,780.605,795.2,0
2021,sept,JUREL,51.138000000000005,8.55,NA,NA,59.688,NA
2021,nov,JUREL,62.012,10.25,2520.7110000000002,0,72.262,2520.7110000000002
2021,dic,JUREL,102.53,14.399999999999999,264.28499999999997,31036.995999999996,31153.925999999996,264.28499999999997
2022,ene,JUREL,18519.072000000004,95.63,700.262,78399.96099999995,97014.66299999996,700.262
2022,feb,JUREL,4978.31,81.79500000000002,2.656,73012.45700000002,78072.56200000002,2.656
2022,mar,JUREL,71.8,2,12034.201,82806.70599999998,82880.50599999998,12034.201
2022,abr,JUREL,249.065,5.9,13328.588999999998,65230.20999999998,65485.17499999998,13328.588999999998
2022,may,JUREL,170.83499999999998,4.256,4858.942,90334.55699999997,90509.64799999997,4858.942
2022,jul,JUREL,125.34,11.8,4577.575000000001,55638.51400000001,55775.65400000001,4577.575000000001
2022,ago,JUREL,82.46,14.700999999999999,8636.972999999998,13164.936000000002,13262.097,8636.972999999998
2022,sept,JUREL,22.8,1.8,0,2851.987,2876.5870000000004,0
2022,oct,JUREL,165.48000000000002,5.2,3556.3280000000004,0,170.68,3556.3280000000004
2022,nov,JUREL,1837.9159999999997,13.629999999999999,8778.322999999997,802.2579999999999,2653.8039999999996,8778.322999999997
2022,dic,JUREL,11091.747000000001,48.373999999999995,3046.1260000000007,44259.238999999994,55399.36,3046.1260000000007
2023,ene,JUREL,17936.509999999995,139.135,12448.161000000002,80260.95099999996,98336.59599999995,12448.161000000002
2023,feb,JUREL,6210.174999999998,9.05,8311.614,110197.18599999994,116416.41099999995,8311.614
2023,mar,JUREL,896.2119999999999,3.65,21638.147999999997,95017.97899999999,95917.84099999999,21638.147999999997
2023,abr,JUREL,813.4680000000001,1.05,14078.745,93026.96200000003,93841.48000000003,14078.745
2023,may,JUREL,1269.0930000000003,NA,9767.529999999999,90676.806,91945.89899999999,9767.529999999999
2023,jun,JUREL,1414.8269999999998,2.5,10268.621999999998,77007.56400000004,78424.89100000005,10268.621999999998
2023,jul,JUREL,91.46000000000001,5.5,0,21545.281999999996,21642.241999999995,0
2023,sept,JUREL,12.42,7.16,2075.751,0,19.58,2075.751
2023,oct,JUREL,37.885,14.774,5978.594,0,52.659,5978.594
2023,nov,JUREL,17212.869,26.468,859.508,21617.581000000006,38856.918000000005,859.508
2023,dic,JUREL,4893.754999999999,10,1264.1419999999998,63925.218999999975,68828.97399999997,1264.1419999999998
2024,ene,JUREL,26204.287999999986,86.325,1998.957,117458.11900000006,143748.73200000008,1998.957
2024,feb,JUREL,6763.568000000001,24.247999999999998,19464.243000000013,118058.80500000007,124846.62100000007,19464.243000000013
2024,mar,JUREL,2779.825999999999,13.329999999999998,29749.152,101778.46599999997,104571.62199999997,29749.152
2024,abr,JUREL,2412.1529999999993,15.1,21876.979000000003,120360.37499999988,122787.6279999999,21876.979000000003
2024,may,JUREL,1747.3070000000005,27.21,14984.962,83259.93499999995,85034.45199999996,14984.962
2024,jun,JUREL,120.59000000000002,138.25000000000003,4532.576,30963.561999999987,31222.401999999987,4532.576
2024,jul,JUREL,754.0229999999998,87.16,6530.471000000001,67392.85300000003,68234.03600000004,6530.471000000001
2024,ago,JUREL,49.915000000000006,46.905,252.563,40742.51799999999,40839.33799999999,252.563
2024,oct,JUREL,741.349,NA,2433.947,8190.687000000001,8932.036,2433.947
2024,nov,JUREL,12040.889999999996,32.980000000000004,2635.739,22682.977999999992,34756.84799999999,2635.739
2024,dic,JUREL,16179.859,22.66,6247.629000000001,97661.015,113863.534,6247.629000000001
2012,ene,SARDINA COMUN,0.3,16.580000000000002,NA,NA,16.880000000000003,NA
2012,feb,SARDINA COMUN,16216.939999999995,38.303000000000004,0,18585.219999999998,34840.46299999999,0
2012,mar,SARDINA COMUN,221398.99499999973,11485.595999999992,0,14111.308999999996,246995.89999999973,0
2012,abr,SARDINA COMUN,165420.5390000001,2143.411999999999,0,23250.824000000004,190814.7750000001,0
2012,may,SARDINA COMUN,42463.014000000025,253.42499999999998,0,17293.073999999993,60009.51300000002,0
2012,jun,SARDINA COMUN,13088.348999999998,11.824999999999998,0,18735.995000000003,31836.169,0
2012,jul,SARDINA COMUN,35043.84100000004,102.212,0,8593.246,43739.299000000035,0
2012,ago,SARDINA COMUN,10122.951,9.088,0,9553.973,19686.012,0
2012,sept,SARDINA COMUN,1090.1680000000001,7.265,NA,NA,1097.4330000000002,NA
2012,oct,SARDINA COMUN,35287.926999999974,919.5639999999997,0,14513.605999999998,50721.09699999997,0
2012,nov,SARDINA COMUN,46350.70800000001,337.595,0,61749.651999999995,108437.95500000002,0
2012,dic,SARDINA COMUN,43321.40500000001,680.1880000000001,0,16546.941000000003,60548.53400000002,0
2013,ene,SARDINA COMUN,368.99,12.695,NA,NA,381.685,NA
2013,feb,SARDINA COMUN,11015.212000000005,0.41000000000000003,0,1071.9409999999998,12087.563000000006,0
2013,mar,SARDINA COMUN,58862.122,8447.042000000005,0,470.75,67779.914,0
2013,abr,SARDINA COMUN,22325.00499999999,196.21600000000004,0,17.96,22539.18099999999,0
2013,may,SARDINA COMUN,13417.452,79.88600000000001,0,5677.764999999999,19175.102999999996,0
2013,jun,SARDINA COMUN,6719.624999999999,50.108000000000004,0,3301.308,10071.041,0
2013,jul,SARDINA COMUN,29730.667000000005,326.394,0,3569.8379999999997,33626.899000000005,0
2013,ago,SARDINA COMUN,5.5920000000000005,3.0860000000000007,NA,NA,8.678,NA
2013,sept,SARDINA COMUN,106.92999999999999,7.421,NA,NA,114.351,NA
2013,oct,SARDINA COMUN,7128.908999999998,274.70300000000003,0,5716.905000000001,13120.516999999998,0
2013,nov,SARDINA COMUN,15781.835000000006,333.80999999999995,0,18498.322,34613.967000000004,0
2013,dic,SARDINA COMUN,8278.117999999999,10.927,0,16139.374000000005,24428.419000000005,0
2014,ene,SARDINA COMUN,32.879000000000005,11.096,NA,NA,43.97500000000001,NA
2014,feb,SARDINA COMUN,15981.890000000009,1.6600000000000001,0,83.224,16066.774000000009,0
2014,mar,SARDINA COMUN,177893.27199999962,11156.833000000013,0,7321.9800000000005,196372.08499999964,0
2014,abr,SARDINA COMUN,107623.39699999997,1609.9009999999998,0,10417.144999999999,119650.44299999997,0
2014,may,SARDINA COMUN,29382.418000000023,119.423,0,18739.271,48241.11200000003,0
2014,jun,SARDINA COMUN,25029.34900000002,28.866,0,17375.662000000004,42433.87700000003,0
2014,jul,SARDINA COMUN,29820.50899999999,29.062,0,12038.920999999998,41888.49199999999,0
2014,ago,SARDINA COMUN,37.608000000000004,0.16,NA,NA,37.768,NA
2014,sept,SARDINA COMUN,0.483,0.148,NA,NA,0.631,NA
2014,oct,SARDINA COMUN,29756.397000000026,712.446,0,1879.939,32348.782000000025,0
2014,nov,SARDINA COMUN,37064.99699999998,53.956999999999994,0,7019.79,44138.743999999984,0
2014,dic,SARDINA COMUN,5460.598999999999,1.0899999999999999,0,330.949,5792.637999999999,0
2015,ene,SARDINA COMUN,203.04699999999997,5.709999999999999,NA,NA,208.75699999999998,NA
2015,feb,SARDINA COMUN,16864.29400000001,5.219999999999999,0,146.542,17016.05600000001,0
2015,mar,SARDINA COMUN,38192.05200000001,5047.237999999995,0,36244.96999999999,79484.26,0
2015,abr,SARDINA COMUN,98352.63200000007,348.487,0,4245.856,102946.97500000006,0
