ANIO,MES,P_HARINA_REAL,PRECIO_DIESEL_REAL,SST_MACRO,CHL_A_MACRO,WIND_SPEED_MACRO,ln_P_HARINA,ln_DIESEL,ln_SST,ln_WIND,SST2,WIND2,SST_X_WIND,DIESEL_LAG1,D_DIESEL,P_A,P_J,P_S,Q_A,Q_J,Q_S,ln_P_A,ln_P_S,ln_P_J,ln_Q_A,ln_Q_S,ln_Q_J,D_SHOCK_JUREL
2015,7,1572598.2685311509,829.326480598888,11.611976519009922,1.811061844500384,7.642537061841637,14.268239757515897,6.720613902213359,2.4520370240289164,2.0337296242106278,134.83799867803776,58.408372741623,88.74496090776816,817.9512933481105,11.375187250777458,150149.56241717466,154681.22601641514,174388.15712613866,997.9460000000004,0,12892.246000000006,11.9193871591027,12.069038881764454,11.949121671836803,6.906700723133527,9.46445888734981,0,1
2015,8,1718082.2813909152,803.8836618349943,11.77248184990986,1.6396546095816475,6.906171291883265,14.356719274087803,6.689454559498819,2.4657647613981224,1.932415402002697,138.5913289064571,47.69520191283256,81.30277618606426,829.326480598888,-25.442818763893683,162394.07353575443,156085.06187790714,184313.8304305984,0,0,4677.280000000002,11.99778121303739,12.124395183873247,11.958156406074973,0,8.450685799991641,0,1
2015,9,1793997.7001009397,780.2465257562417,12.267724624703115,3.763983770015213,6.804268346824131,14.39995703960504,6.659609928409468,2.5069717993668115,1.9175501133244044,150.4970674675472,46.29806773559279,83.47289035142235,803.8836618349943,-23.637136078752633,174638.58465433418,157488.89773939914,186134.38302958733,0,0,0,12.070473886829637,12.134224181231893,11.967110244219752,0,0,0,1
2015,10,1869913.118810964,756.6093896774889,12.76296739949637,5.8883129304487785,6.702365401764996,14.44140252722255,6.628847122480749,2.546547805699428,1.902460509130736,162.89333684060713,44.921701978776454,85.54207112223904,780.2465257562417,-23.637136078752746,186883.09577291395,158892.73360089117,187954.93562857623,1656.5610000000006,0,34077.630999999994,12.13823854405047,12.143957508975149,11.975984622095242,7.413102523796098,10.436425809948615,0,1
2015,11,2027189.352783252,741.1295947198143,13.425381839373864,6.0952713002048275,6.368462844372477,14.522160836356475,6.608175501663992,2.5971470824019116,1.8513581287482483,180.24087753298957,40.55731900015278,85.49904541556548,756.6093896774889,-15.479794957674585,173643.02218144864,160296.56946238317,186803.6967194914,9860.357999999998,0,79735.07600000019,12.06475687413104,12.13781359429997,11.984780937634916,9.19637916630775,11.28647740979222,0,1
2015,12,1908581.4801719936,739.754112950139,13.921392337934666,7.136072582943278,6.108320711979769,14.461870843560774,6.606317851183942,2.633426674181095,1.809651892850864,193.80516462670602,37.31158192040104,85.03632915740279,741.1295947198143,-1.375481769675389,166569.25454859532,161700.4053238752,196615.7537047231,3558.8079999999995,0,23926.19099999999,12.023166445157035,12.189006614231209,11.993500552203214,8.177461889807391,10.0827707899756,0,1
2016,1,1798714.369342342,676.4183009270786,15.99128677490408,7.374399440732296,6.8480178126673374,14.402582728421764,6.516811673026059,2.772043997335611,1.92395923998491,255.72125271722211,46.895347962609144,109.50861668201475,739.754112950139,-63.335812023060384,172465.66361425095,163104.2411853672,172465.66361425095,114.639,0,239.86900000000003,12.05795344412858,12.05795344412858,12.002144791860026,4.7504732695839476,5.484253217239029,0,1
2016,2,1712953.6634814772,617.1195989851011,14.949809372469002,6.254845167590991,6.709258370290008,14.353729727017154,6.425062844642979,2.704698548749983,1.9034884188378811,223.496800273162,45.01414787930653,100.30213366647766,676.4183009270786,-59.29870194197747,143002.19636249138,164508.0770468592,143002.19636249138,1383.087,0,29493.965000000004,11.870615268302355,11.870615268302355,12.010714948570978,7.232795995473604,10.291974849794668,0,1
2016,3,1697447.420473046,578.5980457428489,13.83523502929704,6.277768194702422,5.9966411286560595,14.344636163250755,6.360608014974715,2.62721860111751,1.7911995005842176,191.41372831588788,35.95970482588942,82.96493940130566,617.1195989851011,-38.52155324225225,175809.40386518626,165911.91290835122,176693.27651207987,30622.06000000004,23188.494999999995,40715.301000000014,12.077155754640952,12.082170607284365,12.019212281366311,10.329508598901752,10.614383807216091,10.051454653384607,1
2016,4,1599074.3548024944,608.9102555377976,12.93975873193864,4.04709633034547,4.840258630212031,14.28493549154953,6.411670893201872,2.5603046437628145,1.5769681552951098,167.4373560407823,23.42810360734205,62.631778875127495,578.5980457428489,30.312209794948785,158616.8524433967,182022.54061461505,150577.0594202583,9916.19400000001,0,16313.857000000007,11.974246840062523,11.922230254858128,12.111885807921064,9.202025297362438,9.69983144404877,0,1
2016,5,1750218.14288353,608.5185643547397,13.23619613409714,4.561614386498833,4.431166931359983,14.37525099120745,6.411027420351265,2.582955208179944,1.4886629650261125,175.19688810028808,19.63524037357825,58.65179460640609,608.9102555377976,-0.39169118305790107,144811.83764980512,198133.16832087887,144811.83764980512,8370.931999999997,0,26720.11800000001,11.883190507317437,11.883190507317437,12.196694650881827,9.032639961220434,10.193209468092624,0,1
2016,6,1888063.9523967283,642.9270580916398,12.414756299615211,2.566193702471937,5.7786925997373,14.45106249820539,6.46603127782092,2.5188857892560077,1.7541774632815303,154.12617397883557,33.393288162258635,71.74106035612846,608.5185643547397,34.40849373690003,144234.8980575748,214243.79602714267,144234.8980575748,5474.125,0,33770.975,11.8791984860479,11.8791984860479,12.274869879341322,8.607970385474305,10.427386595530914,0,1
2016,7,1662772.8295797573,672.4695237505114,11.462591547519889,1.816661230488374,6.377510047351342,14.323997146065798,6.510956792606004,2.439088824248172,1.8527777464698825,131.3910049852744,40.672634404067324,73.10279276299266,642.9270580916398,29.542465658871606,143947.0040494759,230354.4237334065,143947.0040494759,2900.6509999999994,0,20547.013,11.877200483385225,11.877200483385225,12.347374374579081,7.973035164323739,9.930519524251938,0,1
2016,8,1609841.126788823,668.974918644202,12.004629559922245,2.3989968064038796,6.270026069835766,14.291646053078399,6.505746568609589,2.485292372047791,1.8357805125047286,144.11113087095896,39.31322691642014,75.26934029943354,672.4695237505114,-3.4946051063093364,143668.44674338054,246465.05143967032,151491.0969253456,0,0,0,11.87526347066617,11.928282136035426,12.414975483263857,0,0,0,1
2016,9,1556909.4239978888,665.4803135378926,12.5466675723246,2.9813323823193856,6.162542092320191,14.258213275712237,6.5005090559369085,2.5294550982322175,1.818489369742267,157.41886717042166,37.976925039618116,77.31936703279912,668.974918644202,-3.49460510630945,143389.8894372852,262575.6791459341,159035.18980121528,0,0,0,11.873322698645849,11.97688077621932,12.478294620971242,0,0,0,1
