ANIO,MES,RG,NM_RECURSO,FECHA,Q_TOTAL,Q_INDUSTRIAL,Q_ARTESANAL,N_FLOTAS_ACTIVAS,N_OUTLIERS,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2013,3,8,JUREL,2013-03-01,39642.49699999999,39533.450999999994,109.04599999999999,2,0,0.997249265100531,0.0027507348994691232
2013,3,8,SARDINA COMUN,2013-03-01,51996.734000000004,470.75,51525.984000000004,2,2,0.009053453241890153,0.9909465467581099
2013,3,9,ANCHOVETA,2013-03-01,0.078,0,0.078,1,0,0,1
2013,3,9,SARDINA COMUN,2013-03-01,0.05,0,0.05,1,0,0,1
2013,3,10,ANCHOVETA,2013-03-01,3.189,0,3.189,1,0,0,1
2013,3,10,JUREL,2013-03-01,88.32,0,88.32,1,0,0,1
2013,3,10,SARDINA COMUN,2013-03-01,686.29,0,686.29,1,0,0,1
2013,3,14,ANCHOVETA,2013-03-01,320.50300000000004,0,320.50300000000004,1,0,0,1
2013,3,14,SARDINA COMUN,2013-03-01,12559.499999999996,0,12559.499999999996,1,1,0,1
2013,4,5,ANCHOVETA,2013-04-01,1709.563,0,1709.563,1,0,0,1
2013,4,5,JUREL,2013-04-01,3.6799999999999997,0,3.6799999999999997,1,0,0,1
2013,4,5,SARDINA COMUN,2013-04-01,2101.242,0,2101.242,1,0,0,1
2013,4,7,JUREL,2013-04-01,0.35,0,0.35,1,0,0,1
2013,4,7,SARDINA COMUN,2013-04-01,0.325,0,0.325,1,0,0,1
2013,4,8,ANCHOVETA,2013-04-01,5236.368999999996,0,5236.368999999996,1,1,0,1
2013,4,8,JUREL,2013-04-01,35240.127,35239.942,0.185,2,0,0.9999947503026877,5.249697312384828e-6
2013,4,8,SARDINA COMUN,2013-04-01,11997.53199999999,17.96,11979.571999999991,2,1,0.001496974544431306,0.9985030254555688
2013,4,9,ANCHOVETA,2013-04-01,0.04,0,0.04,1,0,0,1
2013,4,9,SARDINA COMUN,2013-04-01,0.05,0,0.05,1,0,0,1
2013,4,10,SARDINA COMUN,2013-04-01,30.451,0,30.451,1,0,0,1
2013,4,14,ANCHOVETA,2013-04-01,465.39299999999986,0,465.39299999999986,1,0,0,1
2013,4,14,JUREL,2013-04-01,15.382000000000001,0,15.382000000000001,1,0,0,1
2013,4,14,SARDINA COMUN,2013-04-01,8409.581,0,8409.581,1,1,0,1
2013,5,5,ANCHOVETA,2013-05-01,321.37199999999996,0,321.37199999999996,1,0,0,1
2013,5,5,JUREL,2013-05-01,11.350000000000001,0,11.350000000000001,1,0,0,1
2013,5,5,SARDINA COMUN,2013-05-01,561.243,0,561.243,1,0,0,1
2013,5,7,ANCHOVETA,2013-05-01,0.035,0,0.035,1,0,0,1
2013,5,7,SARDINA COMUN,2013-05-01,0.1,0,0.1,1,0,0,1
2013,5,8,ANCHOVETA,2013-05-01,2529.2860000000005,824.483,1704.8030000000006,2,0,0.3259746031093359,0.6740253968906641
2013,5,8,JUREL,2013-05-01,22997.236,22997.235,0.001,2,0,0.9999999565165135,4.348348645028472e-8
2013,5,8,SARDINA COMUN,2013-05-01,11854.431000000002,5238.825,6615.606000000002,2,0,0.4419296885696158,0.5580703114303841
2013,5,10,ANCHOVETA,2013-05-01,84.779,0,84.779,1,0,0,1
2013,5,10,SARDINA COMUN,2013-05-01,19.703,0,19.703,1,0,0,1
2013,5,14,ANCHOVETA,2013-05-01,547.745,79.97,467.77500000000003,2,0,0.1459985942363691,0.8540014057636309
2013,5,14,SARDINA COMUN,2013-05-01,6739.625999999998,438.93999999999994,6300.685999999999,2,0,0.0651282430212003,0.9348717569787998
2013,6,5,JUREL,2013-06-01,0.36,0,0.36,1,0,0,1
2013,6,5,SARDINA COMUN,2013-06-01,6.9990000000000006,0,6.9990000000000006,1,0,0,1
2013,6,8,ANCHOVETA,2013-06-01,1822.6490000000006,172.015,1650.6340000000005,2,0,0.09437637197288119,0.9056236280271187
2013,6,8,JUREL,2013-06-01,5956.015,5956.015,0,1,0,1,0
2013,6,8,SARDINA COMUN,2013-06-01,6367.226,2275.4530000000004,4091.7729999999997,2,0,0.35736959862897916,0.6426304013710209
2013,6,10,ANCHOVETA,2013-06-01,4.786,0,4.786,1,0,0,1
2013,6,10,SARDINA COMUN,2013-06-01,36.068,0,36.068,1,0,0,1
2013,6,14,ANCHOVETA,2013-06-01,1015.0880000000002,150.85500000000002,864.2330000000002,2,0,0.14861273111296752,0.8513872688870324
2013,6,14,SARDINA COMUN,2013-06-01,3660.7479999999987,1025.8549999999998,2634.8929999999987,2,0,0.28023098011663194,0.7197690198833679
2013,7,5,JUREL,2013-07-01,0.19499999999999998,0,0.19499999999999998,1,0,0,1
2013,7,5,SARDINA COMUN,2013-07-01,4.1610000000000005,0,4.1610000000000005,1,0,0,1
2013,7,8,ANCHOVETA,2013-07-01,569.511,177.94599999999997,391.565,2,0,0.3124540175694587,0.6875459824305413
2013,7,8,SARDINA COMUN,2013-07-01,30429.591,3201.6699999999996,27227.921000000002,2,1,0.10521567641181899,0.894784323588181
2013,7,10,SARDINA COMUN,2013-07-01,0.078,0,0.078,1,0,0,1
2013,7,14,ANCHOVETA,2013-07-01,180.889,31.387,149.502,2,0,0.17351524968350757,0.8264847503164925
2013,7,14,SARDINA COMUN,2013-07-01,3193.0690000000013,368.168,2824.901000000001,2,0,0.11530223743990495,0.884697762560095
2013,8,5,JUREL,2013-08-01,14.98,0,14.98,1,0,0,1
2013,8,5,SARDINA COMUN,2013-08-01,2.9260000000000006,0,2.9260000000000006,1,0,0,1
2013,8,10,ANCHOVETA,2013-08-01,0.3,0,0.3,1,0,0,1
2013,8,10,SARDINA COMUN,2013-08-01,5.5920000000000005,0,5.5920000000000005,1,0,0,1
2013,8,14,SARDINA COMUN,2013-08-01,0.16,0,0.16,1,0,0,1
2013,9,5,SARDINA COMUN,2013-09-01,7.261,0,7.261,1,0,0,1
2013,9,7,SARDINA COMUN,2013-09-01,2.79,0,2.79,1,0,0,1
2013,9,8,SARDINA COMUN,2013-09-01,3.055,0,3.055,1,0,0,1
2013,9,10,ANCHOVETA,2013-09-01,1.9540000000000002,0,1.9540000000000002,1,0,0,1
2013,9,10,SARDINA COMUN,2013-09-01,101.067,0,101.067,1,0,0,1
2013,9,14,SARDINA COMUN,2013-09-01,0.178,0,0.178,1,0,0,1
2013,10,5,SARDINA COMUN,2013-10-01,12.882,0,12.882,1,0,0,1
