year,month,P_anchoveta,P_sardina,P_jurel,Q_anchoveta,Q_sardina,Q_jurel,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD,Date
2020,6,163731.66666666674,156032.4999999999,201229.00000000015,13609.637,8706.608999999999,51820.874,1289791.9047619046,793.7180952380951,1625,2020-06-01
2020,7,174124,157374.6666666667,210000.0000000001,6638.683,4312.121,24631.67599999998,1130009.890909091,784.729090909091,1440,2020-07-01
2020,8,178945.3774549956,594627.2499999998,212258.25097245225,383.576,332.1839999999999,6927.787,1127951.4880952383,784.6619047619049,1437.5,2020-08-01
2020,9,185755.90494346345,16113.50873260047,215089.10068518744,214.77,24.610999999999997,900.75,1141541.9142857145,773.402380952381,1476,2020-09-01
2020,10,192836.63976295173,424788.7380758473,217957.70492600047,665.724,8246.538999999999,0,1235608.746428572,788.2671428571431,1567.5,2020-10-01
2020,11,191823.00000000012,163274.33333333328,220864.56722016996,35925.037999999964,30231.040000000005,1411.473,1188193.0166666668,762.884761904762,1557.5,2020-11-01
2020,12,263052.00000000023,187017.33333333343,210000.0000000001,6567.446999999999,27299.390999999992,23264.14200000001,1128549.8879999998,734.733,1536,2020-12-01
2021,1,285042.82569943316,456909.2759008758,240000.00000000015,978.806,753.226,90400.38299999996,1163116.27,723.556,1607.5,2021-01-01
2021,2,186141.7011960897,163091.11189381324,240000.00000000015,1155.092,4135.686,84373.05900000002,1217625.6525,722.6265,1685,2021-02-01
2021,3,158497.9999999999,148998.66666666663,240000.00000000015,56042.23800000011,184713.50999999995,72789.49000000003,1181557.9226695658,726.366086956522,1626.67,2021-03-01
2021,4,168097.5000000001,155398.3333333333,240000.00000000015,48236.96999999999,95610.4170000002,72246.508,1144939.672619047,707.845238095238,1617.5,2021-04-01
2021,5,176217.99999999985,160812.0000000001,240000.00000000015,41749.39,20628.112000000005,70916.72200000004,1216183.09625,712.2595,1707.5,2021-05-01
2021,6,189262.0000000001,159631.0000000001,240000.00000000015,15501.41700000001,5552.879000000003,65446.401000000005,1209696.5925,726.5445,1665,2021-06-01
2021,7,144209.00000000006,144209.00000000006,240468.79084735792,3353.3509999999983,1719.8900000000003,37352.678,1220403.8244047617,750.440476190476,1626.25,2021-07-01
2021,8,161454.76344436253,594627.2499999998,241918.7045758998,52.107000000000006,5.588,795.2,1282817.3590909094,779.828181818182,1645,2021-08-01
2021,9,162024.31866984905,15223.122305918085,243377.36060240437,16.188000000000002,2.603,59.688,1292983.2142857136,783.62619047619,1650,2021-09-01
2021,10,162605.43635763883,280313.0029254,244844.8116388164,338.657,4915.918000000001,9.5,1341390.424,813.9505,1648,2021-10-01
2021,11,161024.99999999997,145512.49999999994,246321.1107149103,7250.078000000004,19248.929999999986,72.262,1389588.342857143,812.624761904762,1710,2021-11-01
2021,12,162192.00000000006,159705.40221447247,247806.3111802049,536.807,6931.9569999999985,31153.925999999996,1443507.2380952383,849.121904761905,1700,2021-12-01
2022,1,241975.05149953227,410807.03903645015,248504.5677600891,33.513,13.217,97014.66299999996,1419409.0735,822.05,1726.67,2022-01-01
2022,2,186160.9999999999,174062.00000000003,250803.63134250225,1048.195,14733.465,78072.56200000002,1396227.64,807.068,1730,2022-02-01
2022,3,161695.50000000012,182375.99999999985,252315.85924321137,91966.4719999998,110846.897,82880.50599999998,1440135.6791304352,799.187391304348,1802,2022-03-01
2022,4,168052.5,185526.9999999999,253837.2052231052,59670.83800000008,33162.710999999974,65485.17499999998,1483523.86,815.123,1820,2022-04-01
2022,5,171073,197957.99999999985,255367.72420384604,23351.412,10287.694,90509.64799999996,1518284.625,849.39,1787.5,2022-05-01
2022,6,173214.49999999988,186367.00000000015,256907.47149431577,15566.766,12472.874000000003,72138.65099999997,1528545.249,857.7695,1782,2022-06-01
2022,7,228717.0000000001,231917.0000000001,258456.5027368816,1877.4179999999997,1201.318,55775.65400000001,1729784.6029761897,953.70619047619,1813.75,2022-07-01
2022,8,195862.7986783734,594627.2499999998,260014.87390940933,1059.206,24.739,13262.097,1615173.1590909096,904.352272727273,1786,2022-08-01
2022,9,193363.36098919716,18402.364001733997,261582.64132728495,23.488,0.363,2876.5870000000004,1573771.565625,921.0075,1708.75,2022-09-01
2022,10,203428.9999999999,206435.00000000015,263159.86164544855,526.989,7973.253,170.68,1645333.8157894732,955.894736842105,1721.25,2022-10-01
2022,11,172375.0000000001,171824.50000000012,244999.99999999985,22373.05500000001,18881.948999999982,2653.8039999999996,1600257.2357142852,917.0528571428569,1745,2022-11-01
2022,12,165319.99999999997,164905.49999999994,244999.99999999985,1273.6409999999998,14344.204000000002,55399.36,1613406.182142856,875.661428571428,1842.5,2022-12-01
2023,1,258161.86095765285,401095.85162779933,289999.9999999999,558.589,137.90699999999998,98336.59599999996,1617138.992857142,826.335714285714,1957,2023-01-01
