ANIO,MES_TXT,RG,TONELADAS,NM_RECURSO,FLOTA,MES,FECHA,Limite_Superior,is_outlier_Q
2017,nov,8,2905.9799999999996,SARDINA COMUN,INDUSTRIAL,11,2017-11-01,28123,FALSE
2018,feb,8,6600.473,SARDINA COMUN,INDUSTRIAL,2,2018-02-01,28123,FALSE
2018,feb,14,317.165,SARDINA COMUN,INDUSTRIAL,2,2018-02-01,28123,FALSE
2018,mar,8,1228.394,SARDINA COMUN,INDUSTRIAL,3,2018-03-01,28123,FALSE
2018,oct,8,1986.486,SARDINA COMUN,INDUSTRIAL,10,2018-10-01,28123,FALSE
2019,jul,8,900.633,SARDINA COMUN,INDUSTRIAL,7,2019-07-01,28123,FALSE
2019,oct,8,462.422,SARDINA COMUN,INDUSTRIAL,10,2019-10-01,28123,FALSE
2019,nov,8,2180.071,SARDINA COMUN,INDUSTRIAL,11,2019-11-01,28123,FALSE
2020,abr,8,5.725,SARDINA COMUN,INDUSTRIAL,4,2020-04-01,28123,FALSE
2020,may,14,45.374,SARDINA COMUN,INDUSTRIAL,5,2020-05-01,28123,FALSE
2020,oct,8,3478.168,SARDINA COMUN,INDUSTRIAL,10,2020-10-01,28123,FALSE
2020,nov,8,1163.963,SARDINA COMUN,INDUSTRIAL,11,2020-11-01,28123,FALSE
2020,dic,8,2843.7300000000005,SARDINA COMUN,INDUSTRIAL,12,2020-12-01,28123,FALSE
2022,abr,8,27.53,SARDINA COMUN,INDUSTRIAL,4,2022-04-01,28123,FALSE
2022,oct,8,5393.816999999999,SARDINA COMUN,INDUSTRIAL,10,2022-10-01,28123,FALSE
2022,nov,8,24.244,SARDINA COMUN,INDUSTRIAL,11,2022-11-01,28123,FALSE
2023,jun,8,638.999,SARDINA COMUN,INDUSTRIAL,6,2023-06-01,28123,FALSE
2023,oct,8,322.181,SARDINA COMUN,INDUSTRIAL,10,2023-10-01,28123,FALSE
2024,abr,8,128.686,SARDINA COMUN,INDUSTRIAL,4,2024-04-01,28123,FALSE
2024,may,8,265.264,SARDINA COMUN,INDUSTRIAL,5,2024-05-01,28123,FALSE
2024,oct,8,518.542,SARDINA COMUN,INDUSTRIAL,10,2024-10-01,28123,FALSE
2024,nov,8,1640.0839999999998,SARDINA COMUN,INDUSTRIAL,11,2024-11-01,28123,FALSE
2012,feb,8,249.91999999999993,ANCHOVETA,INDUSTRIAL,2,2012-02-01,2209,FALSE
2012,mar,8,1053.2960000000003,ANCHOVETA,INDUSTRIAL,3,2012-03-01,2209,FALSE
2012,abr,8,1966.0320000000002,ANCHOVETA,INDUSTRIAL,4,2012-04-01,2209,FALSE
2012,may,8,737.2610000000001,ANCHOVETA,INDUSTRIAL,5,2012-05-01,2209,FALSE
2012,jun,8,548.9399999999999,ANCHOVETA,INDUSTRIAL,6,2012-06-01,2209,FALSE
2012,jul,8,428.31499999999994,ANCHOVETA,INDUSTRIAL,7,2012-07-01,2209,FALSE
2012,jul,14,3.95,ANCHOVETA,INDUSTRIAL,7,2012-07-01,2209,FALSE
2012,ago,8,238.087,ANCHOVETA,INDUSTRIAL,8,2012-08-01,2209,FALSE
2012,oct,8,384.88499999999993,ANCHOVETA,INDUSTRIAL,10,2012-10-01,2209,FALSE
2012,nov,8,3779.474999999999,ANCHOVETA,INDUSTRIAL,11,2012-11-01,2209,TRUE
2012,nov,14,15.068000000000001,ANCHOVETA,INDUSTRIAL,11,2012-11-01,2209,FALSE
2012,dic,8,3868.7049999999995,ANCHOVETA,INDUSTRIAL,12,2012-12-01,2209,TRUE
2012,dic,14,30.412,ANCHOVETA,INDUSTRIAL,12,2012-12-01,2209,FALSE
2013,feb,8,15.942,ANCHOVETA,INDUSTRIAL,2,2013-02-01,2209,FALSE
2013,feb,14,54.148,ANCHOVETA,INDUSTRIAL,2,2013-02-01,2209,FALSE
2013,mar,8,44.464,ANCHOVETA,INDUSTRIAL,3,2013-03-01,2209,FALSE
2013,may,8,824.483,ANCHOVETA,INDUSTRIAL,5,2013-05-01,2209,FALSE
2013,may,14,79.97,ANCHOVETA,INDUSTRIAL,5,2013-05-01,2209,FALSE
2013,jun,8,172.015,ANCHOVETA,INDUSTRIAL,6,2013-06-01,2209,FALSE
2013,jun,14,150.85500000000002,ANCHOVETA,INDUSTRIAL,6,2013-06-01,2209,FALSE
2013,jul,8,177.94599999999997,ANCHOVETA,INDUSTRIAL,7,2013-07-01,2209,FALSE
