year,month,P_jurel,P_sardina_comun,P_anchoveta,Q_jurel,Q_sardina_comun,Q_anchoveta
2023,5,290000,188500,188500,91945.89899999999,40972.83899999999,43375.229999999945
2023,6,290000,190500,190500,78424.89100000005,8954.295,27267.955999999984
2023,7,NA,231000,231000,21642.241999999995,2165.456,6538.208
2023,8,NA,NA,NA,911.177,10.171000000000001,10.704
2023,9,NA,NA,NA,19.58,0.17300000000000001,249.94500000000002
2023,10,NA,271000,271000,52.659,4059.0409999999993,2219.705999999999
2023,11,290000,246000,203000,38856.918000000005,26515.151000000023,24344.917999999987
2023,12,NA,223000,191500,68828.97399999997,13455.284999999996,5020.911999999999
2024,1,300000,NA,NA,143748.73200000008,0.048,96.71600000000001
2024,2,NA,NA,NA,124846.62100000007,5675.273999999992,3378.308999999998
2024,3,300000,190000,190000,104571.62199999997,63773.90400000001,37704.742000000006
2024,4,300000,190000,190000,122787.6279999999,10462.345000000001,22415.662999999997
2024,5,300000,190000,190000,85034.45199999996,9202.513999999997,37413.006000000016
2024,6,NA,190000,190000,31222.401999999987,954.9939999999998,2877.019
2024,7,NA,NA,NA,68234.03600000004,13324.86200000001,6774.584999999996
2024,8,NA,NA,NA,40839.33799999999,73.35,23.629
2024,9,NA,NA,NA,3977.685,49.934,49.57899999999999
2024,10,NA,NA,NA,8932.036,2955.3580000000006,2569.7959999999994
2024,11,NA,NA,NA,34756.84799999999,14975.000999999998,5608.3179999999975
2024,12,NA,NA,NA,113863.534,8168.041000000002,2286.9910000000004
