ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA_PLANTAS,Q_MERCADO_TOTAL,N_PLANTAS,Deflactor_2024,PRECIO_REAL,Fecha,Especie,Region_Label
2013,5,8,SARDINA COMUN,134700.92407478509,12011.912,11854.431000000002,5,0.6053832585329851,222505.2017480687,2013-05-01,Sardina Comun,Región 8
2013,6,8,SARDINA COMUN,177714.95378072452,6083.133,6367.226,5,0.6090155580841831,291806.9192514115,2013-06-01,Sardina Comun,Región 8
2013,7,8,SARDINA COMUN,159244.25570075045,13946.541,30429.591,3,0.6108426047584355,260696.052404081,2013-07-01,Sardina Comun,Región 8
2013,10,8,SARDINA COMUN,129977.70073039904,5303.813,11439.844999999998,3,0.61573973602921,211091.94863498796,2013-10-01,Sardina Comun,Región 8
2013,11,8,SARDINA COMUN,209274.81948404445,17026.157000000003,30110.675000000007,3,0.6182026949733268,338521.3639242933,2013-11-01,Sardina Comun,Región 8
2013,12,8,SARDINA COMUN,312459.49566206284,11369.805,13986.951000000005,3,0.6219119111431668,502417.609413069,2013-12-01,Sardina Comun,Región 8
2014,3,8,SARDINA COMUN,89951.45007449009,79555.542,167005.40399999966,6,0.6312816857494027,142490.19432221854,2014-03-01,Sardina Comun,Región 8
2014,4,8,SARDINA COMUN,92080.23777414615,44887.458000000006,96494.81999999998,6,0.6350693758638991,144992.40756002025,2014-04-01,Sardina Comun,Región 8
2014,5,8,SARDINA COMUN,96504.52194822184,21177.342,37953.51500000003,4,0.6369745839914907,151504.50955749757,2014-05-01,Sardina Comun,Región 8
2014,6,8,SARDINA COMUN,96424.1940772372,18879.061,34657.68400000003,3,0.637611558575482,151227.17394374567,2014-06-01,Sardina Comun,Región 8
2014,7,8,SARDINA COMUN,95921.20190304011,17433.789,32794.83099999999,3,0.638886781692633,150138.0286017368,2014-07-01,Sardina Comun,Región 8
2014,10,8,SARDINA COMUN,103280.61170484856,11905.561999999998,28354.785000000025,3,0.6523891682697527,158311.3526835008,2014-10-01,Sardina Comun,Región 8
2014,11,8,SARDINA COMUN,107879.04346300907,9190.643,27448.484000000008,3,0.6523891682697527,165359.95493169007,2014-11-01,Sardina Comun,Región 8
2014,12,8,SARDINA COMUN,121964.80825979856,836.679,2298.357,2,0.6497796115966737,187701.80855644273,2014-12-01,Sardina Comun,Región 8
2015,2,8,SARDINA COMUN,100000,146.542,147.054,1,0.6530311087731036,153132.061637733,2015-02-01,Sardina Comun,Región 8
2015,3,8,SARDINA COMUN,119660.2504398007,20178.415963999996,59057.369999999995,4,0.6569492954257422,182145.33644069705,2015-03-01,Sardina Comun,Región 8
2015,4,8,SARDINA COMUN,112502.83501309162,34631.669,94780.00800000007,4,0.6608909911982966,170229.0340031822,2015-04-01,Sardina Comun,Región 8
2015,5,8,SARDINA COMUN,114376.88936733767,22558.085000000003,65080.8,4,0.6622127731806933,172719.24372278526,2015-05-01,Sardina Comun,Región 8
2015,6,8,SARDINA COMUN,103816.5394888139,3730.031,8938.752000000002,2,0.6655238370465967,155992.21802410838,2015-06-01,Sardina Comun,Región 8
2015,7,8,SARDINA COMUN,100747.20421567452,1610.371,9538.653000000008,2,0.6681859323947831,150777.2003738478,2015-07-01,Sardina Comun,Región 8
2015,10,8,SARDINA COMUN,129712,2660.977,23658.615999999995,1,0.6789324602915188,191052.87725424778,2015-10-01,Sardina Comun,Región 8
